[2026-03-03 23:27:56,913] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - Updated OCR text for bilibili:116164873165742:E2E-202603032315 (chars=724)
[2026-03-03 23:28:00,071] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164873224253/frame_000.jpg, lines=0
[2026-03-03 23:28:03,210] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164873224253/frame_020.jpg, lines=0
[2026-03-03 23:28:06,369] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164873224253/frame_021.jpg, lines=0
[2026-03-03 23:28:06,370] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - Updated OCR text for bilibili:116164873224253:E2E-202603032315 (chars=11)
[2026-03-03 23:28:11,766] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164856381603/frame_000.jpg, lines=19
[2026-03-03 23:28:16,930] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164856381603/frame_013.jpg, lines=19
[2026-03-03 23:28:21,788] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164856381603/frame_014.jpg, lines=13
[2026-03-03 23:28:26,605] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164856381603/frame_026.jpg, lines=13
[2026-03-03 23:28:30,018] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164856381603/frame_027.jpg, lines=0
